head,family,rank,token,count,attn_median
L16H4,no_tool,5,(n,1,0.04055250063538551
L16H4,no_tool,5,(num,1,0.046469103544950485
L16H4,no_tool,5,(nums,2,0.0515587255358696
L16H4,no_tool,5,(price,1,0.04717591404914856
L16H4,no_tool,5,),123,0.04109570384025574
L16H4,no_tool,5,*/\n,10,0.03414621762931347
L16H4,no_tool,5,.,1,0.039064593613147736
L16H4,no_tool,5,.\n,1,0.02883148565888405
L16H4,no_tool,5,1,1,0.05927868187427521
L16H4,no_tool,5,4,1,0.06960134953260422
L16H4,no_tool,5,7,1,0.05442049354314804
L16H4,no_tool,5,:\n,52,0.037390995770692825
L16H4,no_tool,5,Append,5,0.03707074373960495
L16H4,no_tool,5,Edit,1,0.03769177198410034
L16H4,no_tool,5,Save,11,0.040367573499679565
L16H4,no_tool,5,Sub,2,0.04906401503831148
L16H4,no_tool,5,With,1,0.040835652500391006
L16H4,no_tool,5,\n,339,0.045244451612234116
L16H4,no_tool,5,\n\n,55,0.035444360226392746
L16H4,no_tool,5,]),1,0.06964617967605591
L16H4,no_tool,5,_G,1,0.05305323004722595
L16H4,no_tool,5,_num,1,0.03935542702674866
L16H4,no_tool,5,s,1,0.03520483523607254
L16H4,no_tool,5,}\n,155,0.04168175905942917
L23H6,no_tool,1,<|im_start|>,225,0.4433051347732544
L23H6,no_tool,1,\n\n,998,0.46631599962711334
L23H6,no_tool,2,<|im_start|>,998,0.38664864003658295
L23H6,no_tool,2,\n\n,225,0.40410470962524414
L23H6,no_tool,3,   ,4,0.02671822626143694
L23H6,no_tool,3,\n,1,0.02269957773387432
L23H6,no_tool,3,\n\n,1217,0.032181836664676666
L23H6,no_tool,3,}\n,1,0.016545431688427925
L23H6,no_tool,4,   ,43,0.012809847481548786
L23H6,no_tool,4," """"""\n",2,0.00861209724098444
L23H6,no_tool,4, bool,1,0.01732316054403782
L23H6,no_tool,4, int,5,0.010299596935510635
L23H6,no_tool,4, pass,17,0.008006253279745579
L23H6,no_tool,4,*/\n,23,0.01587805151939392
L23H6,no_tool,4,:\n,40,0.00900884298607707
L23H6,no_tool,4,</think>,835,0.012845135293900967
L23H6,no_tool,4,\n,28,0.008506597485393286
L23H6,no_tool,4,\n\n,6,0.020360296592116356
L23H6,no_tool,4,}\n,223,0.012187105603516102
L23H6,no_tool,5,   ,79,0.008760500699281693
L23H6,no_tool,5," """"""\n",10,0.007859066594392061
L23H6,no_tool,5, bool,6,0.008996709249913692
L23H6,no_tool,5, int,1,0.009119086898863316
L23H6,no_tool,5, pass,137,0.0077377380803227425
L23H6,no_tool,5, {\n,3,0.008210156112909317
L23H6,no_tool,5,),1,0.011719396337866783
L23H6,no_tool,5,*/\n,47,0.011699852533638477
L23H6,no_tool,5,:\n,90,0.008371469099074602
L23H6,no_tool,5,</think>,293,0.009903124533593655
L23H6,no_tool,5,</tool_call>,16,0.009264049585908651
L23H6,no_tool,5,YES,1,0.012524673715233803
L23H6,no_tool,5,\n,86,0.007916965056210756
L23H6,no_tool,5,\n\n,2,0.013254445046186447
L23H6,no_tool,5,}\n,440,0.009897764772176743
L23H6,no_tool,5,}},11,0.008812005631625652
