sample_id,sample_rank,q_index,node,node_type,gap,full_ratio,top1_ratio,top3_ratio,contrast_ratio,tool_call_tags_ratio,tools_block_ratio,user_block_ratio,attn_contrast_clean,attn_tool_call_tags_clean,attn_tools_block_clean,attn_user_block_clean,attn_recent_32_clean,attn_prefix_16_clean,attn_contrast_corrupt,attn_tool_call_tags_corrupt,attn_tools_block_corrupt,attn_user_block_corrupt,attn_recent_32_corrupt,attn_prefix_16_corrupt,top1_pos,top1_token,top1_category,target_logit_delta,distractor_logit_delta,top_positive_tokens
codecontests_cpp_186,456,,MLP12,mlp,7.5,0.31666666666666665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.875,-1.5,-tab | 交互 | .secondary | 扺 | .hashCode
codecontests_cpp_186,456,,MLP16,mlp,7.5,0.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.25,-2.125,太多 |  τ | 扺 |  Δ |  ε
codecontests_cpp_186,456,,MLP17,mlp,7.5,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.0,-1.625,.assertIn | .listener | -fetch | .hashCode |  �
codecontests_cpp_186,456,,MLP19,mlp,7.5,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.25,-1.75,.Panel | .equal |  τ |  � | -tab
codecontests_cpp_186,456,,MLP20,mlp,7.5,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.75,-0.75, panel | <header | -panel |  observation | .Panel
codecontests_cpp_186,456,,MLP27,mlp,7.5,0.4666666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.5,-2.0,>>\n\n | .Master | ⻄ | ⼋ |  quarters
codecontests_cpp_284,621,,L6H3,head,14.0,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144,4.399556928547099e-05,2.9218701456557028e-05,0.004324057605117559,0.0151923643425107,0.04172519966959953,0.9270601868629456,9.75587681750767e-06,2.7460730052553117e-05,0.004243502393364906,0.014860706403851509,0.039726801216602325,0.9314072728157043,0,<|im_start|>,other,0.5,-0.125,�认 | 委副书记 | 本网 | 总书记 |  tours
codecontests_cpp_284,621,,L6H13,head,14.0,-0.05803571428571429,-0.05803571428571429,-0.05803571428571429,-0.05803571428571429,-0.05803571428571429,-0.05803571428571429,-0.05803571428571429,9.688859427114949e-05,0.002705894410610199,0.09744273871183395,0.10431695729494095,0.032563768327236176,0.3955962359905243,6.152044079499319e-05,0.002721475437283516,0.10025571286678314,0.10244438052177429,0.03351704403758049,0.38116228580474854,0,<|im_start|>,other,-0.3125,0.5,醍 | 濑 | ewe | Gab | Forg
codecontests_cpp_284,621,,L10H4,head,14.0,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.13392857142857142,0.000667491985950619,0.0009313322370871902,0.032462574541568756,0.15895722806453705,0.20256125926971436,0.5903145670890808,0.002256775973364711,0.0009083678596653044,0.02777344360947609,0.18927481770515442,0.2113783210515976,0.564987301826477,0,<|im_start|>,other,1.125,-0.75,".WRAP |  ""{\"" | .Generated | .UseVisualStyleBackColor | +='<"
codecontests_cpp_284,621,,L11H1,head,14.0,0.0625,0.044642857142857144,0.0625,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.0625,0.00029841222567483783,0.0018711998127400875,0.015933359041810036,0.09710235148668289,0.43691202998161316,0.2582321763038635,0.0016633045161142945,0.0018723711837083101,0.01338198408484459,0.17529836297035217,0.43554696440696716,0.2252388447523117,0,<|im_start|>,other,0.625,-0.25, Ведь | untu | czną | 马拉 | ='\
codecontests_cpp_284,621,,L17H8,head,14.0,0.125,0.008928571428571428,0.0,-0.017857142857142856,0.026785714285714284,0.026785714285714284,-0.008928571428571428,0.000929656729567796,0.014668254181742668,0.27297529578208923,0.19296298921108246,0.17992177605628967,0.1929033249616623,0.005000231321901083,0.009531298652291298,0.20452693104743958,0.30923378467559814,0.20769807696342468,0.21183666586875916,0,<|im_start|>,other,1.0,-0.75,<tool_call> | -Headers |  reputed |  RTWF | .hashCode
codecontests_cpp_284,621,,L18H14,head,14.0,0.08928571428571429,0.026785714285714284,0.09821428571428571,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.017857142857142856,3.017383960468578e-06,0.00012133967538829893,0.0044303229078650475,0.013147572986781597,0.5298332571983337,0.18400532007217407,6.437222509703133e-06,0.0001258827978745103,0.004515981301665306,0.026832379400730133,0.48293790221214294,0.33992472290992737,266,\n\n,other,1.0,-0.25, </>\n |  openings | <Button |  browsers | <tool_call>
codecontests_cpp_284,621,,L21H1,head,14.0,0.38392857142857145,-0.08035714285714286,0.32142857142857145,-0.026785714285714284,0.008928571428571428,-0.05357142857142857,-0.026785714285714284,0.009706330485641956,0.03248646855354309,0.17593908309936523,0.18386338651180267,0.10573197156190872,0.3699415326118469,0.0006768470047973096,0.007749263197183609,0.11266893148422241,0.24160006642341614,0.1502247154712677,0.5577091574668884,0,<|im_start|>,other,3.0,-2.375,<tool_call> | 扺 |  RTWF | .BorderFactory | MouseClicked
codecontests_cpp_284,621,,L21H12,head,14.0,0.4732142857142857,0.4732142857142857,0.4732142857142857,-0.026785714285714284,-0.044642857142857144,-0.09375,-0.03571428571428571,0.00019882875494658947,0.013479338027536869,0.2944556176662445,0.023688921704888344,0.024103568866848946,0.037856556475162506,4.6422264858847484e-05,0.009852901101112366,0.40664178133010864,0.12603479623794556,0.1058722734451294,0.13725660741329193,112,\n,other,3.625,-3.0,<tool_call> |  RTWF | 扺 | .BorderFactory | .UseVisualStyleBackColor
codecontests_cpp_284,621,,L23H6,head,14.0,0.3392857142857143,0.3482142857142857,0.3482142857142857,-0.026785714285714284,-0.026785714285714284,-0.026785714285714284,-0.017857142857142856,0.0009068010840564966,0.0030214283615350723,0.012558640912175179,0.04168780893087387,0.0692342221736908,0.3964851498603821,0.0002998942800331861,0.0027682692743837833,0.016769183799624443,0.06644455343484879,0.1065419614315033,0.40275537967681885,268,\n\n,other,2.625,-2.125,<tool_call> |  RTWF | MouseClicked | .BorderFactory | 扺
codecontests_cpp_284,621,,L24H6,head,14.0,0.375,0.41964285714285715,0.4107142857142857,0.0,0.41964285714285715,-0.017857142857142856,-0.03571428571428571,0.0004025586531497538,0.9658545255661011,0.004342499654740095,0.007992381229996681,0.00398382218554616,0.012954984791576862,0.0010613402118906379,0.5152758359909058,0.0533239021897316,0.059257008135318756,0.03960394859313965,0.319843053817749,106,<tool_call>,tool_call_tags,2.25,-3.0, grands | ้น | .Dialog | .BooleanField | .DateField
codecontests_cpp_284,621,,MLP12,mlp,14.0,0.24107142857142858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.75,-1.625,<tool_call> | opup | .UseVisualStyleBackColor | .assertIn | .Qt
codecontests_cpp_284,621,,MLP16,mlp,14.0,0.2767857142857143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.875,-2.0,<tool_call> | .Panel | .Pool | าะ | opup
codecontests_cpp_284,621,,MLP17,mlp,14.0,0.21428571428571427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,2.0,-1.0,.assertIn |  RTWF | .KeyChar | <tool_call> | .TOP
codecontests_cpp_284,621,,MLP19,mlp,14.0,0.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,3.5,-2.625,<tool_call> |  RTWF |  intervals | MouseClicked |  ceilings
codecontests_cpp_284,621,,MLP20,mlp,14.0,0.17857142857142858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,1.875,-0.625, gió | っくり | .major | _FLOW |  Interstate
codecontests_cpp_284,621,,MLP27,mlp,14.0,0.6160714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,3.5,-5.125,.every |  quarters |  allegedly | ᵗ | ⼋
