sample_id,head,variant,rank,pos,token,attn
apps_python_1,L20H5,clean,2,142,.py,0.18317975103855133
apps_python_1,L20H5,clean,3,150,str,0.08381965756416321
apps_python_1,L20H5,clean,4,27, <,0.08181920647621155
apps_python_1,L20H5,clean,5,224,</think>,0.06699704378843307
apps_python_1,L20H5,corrupt,1,29,></,0.17997591197490692
apps_python_1,L20H5,corrupt,2,142,.py,0.11376297473907471
apps_python_1,L20H5,corrupt,3,224,</think>,0.07463248819112778
apps_python_1,L20H5,corrupt,4,27, <,0.06489886343479156
apps_python_1,L20H5,corrupt,5,150,str,0.06098230928182602
codecontests_cpp_1,L2H14,clean,1,136, the,0.0658174529671669
codecontests_cpp_1,L2H14,clean,2,18, query,0.050239793956279755
codecontests_cpp_1,L2H14,clean,3,252,\n\n,0.04697477072477341
codecontests_cpp_1,L2H14,clean,4,134,Write,0.04365674778819084
codecontests_cpp_1,L2H14,clean,5,247,assistant,0.03993275761604309
codecontests_cpp_1,L2H14,corrupt,1,18, query,0.056639138609170914
codecontests_cpp_1,L2H14,corrupt,2,252,\n\n,0.04795857146382332
codecontests_cpp_1,L2H14,corrupt,3,136, the,0.045090045779943466
codecontests_cpp_1,L2H14,corrupt,4,247,assistant,0.043968357145786285
codecontests_cpp_1,L2H14,corrupt,5,150, below,0.03842215985059738
codecontests_cpp_1,L16H8,clean,1,248,\n,0.0612681582570076
codecontests_cpp_1,L16H8,clean,2,137, function,0.05086798220872879
codecontests_cpp_1,L16H8,clean,3,243,}\n,0.04587390273809433
codecontests_cpp_1,L16H8,clean,4,142, based,0.038173094391822815
codecontests_cpp_1,L16H8,clean,5,86,}\n,0.033974625170230865
codecontests_cpp_1,L16H8,corrupt,1,137, function,0.08245544880628586
codecontests_cpp_1,L16H8,corrupt,2,248,\n,0.07059470564126968
codecontests_cpp_1,L16H8,corrupt,3,138, body,0.05586019158363342
codecontests_cpp_1,L16H8,corrupt,4,243,}\n,0.045864492654800415
codecontests_cpp_1,L16H8,corrupt,5,151,:\n,0.03397948294878006
codecontests_cpp_1,L17H2,clean,1,0,<|im_start|>,0.18746106326580048
codecontests_cpp_1,L17H2,clean,2,252,\n\n,0.06165383383631706
codecontests_cpp_1,L17H2,clean,3,250,\n\n,0.053254105150699615
codecontests_cpp_1,L17H2,clean,4,19,.\n\n,0.03814892843365669
codecontests_cpp_1,L17H2,clean,5,130,\n,0.036700766533613205
codecontests_cpp_1,L17H2,corrupt,1,0,<|im_start|>,0.2025958001613617
codecontests_cpp_1,L17H2,corrupt,2,250,\n\n,0.06468832492828369
codecontests_cpp_1,L17H2,corrupt,3,252,\n\n,0.06401821225881577
codecontests_cpp_1,L17H2,corrupt,4,19,.\n\n,0.0438607819378376
codecontests_cpp_1,L17H2,corrupt,5,248,\n,0.03810726851224899
codecontests_cpp_1,L17H8,clean,1,0,<|im_start|>,0.19814911484718323
codecontests_cpp_1,L17H8,clean,2,248,\n,0.05211830884218216
codecontests_cpp_1,L17H8,clean,3,54,"."",""",0.02494652010500431
codecontests_cpp_1,L17H8,clean,4,252,\n\n,0.024098971858620644
codecontests_cpp_1,L17H8,clean,5,49,""",""",0.023311840370297432
codecontests_cpp_1,L17H8,corrupt,1,0,<|im_start|>,0.24399739503860474
codecontests_cpp_1,L17H8,corrupt,2,248,\n,0.047591499984264374
codecontests_cpp_1,L17H8,corrupt,3,147, and,0.026056412607431412
codecontests_cpp_1,L17H8,corrupt,4,35,<,0.02232620306313038
codecontests_cpp_1,L17H8,corrupt,5,89,>\n\n,0.021240253001451492
codecontests_cpp_1,L20H5,clean,1,29,></,0.22038361430168152
codecontests_cpp_1,L20H5,clean,2,109, tags,0.08170977979898453
codecontests_cpp_1,L20H5,clean,3,28,tools,0.0761902928352356
codecontests_cpp_1,L20H5,clean,4,108, XML,0.06124269217252731
codecontests_cpp_1,L20H5,clean,5,27, <,0.05937056615948677
codecontests_cpp_1,L20H5,corrupt,1,138, body,0.16246451437473297
codecontests_cpp_1,L20H5,corrupt,2,29,></,0.11990319937467575
codecontests_cpp_1,L20H5,corrupt,3,141,.cpp,0.11874894797801971
codecontests_cpp_1,L20H5,corrupt,4,243,}\n,0.07203930616378784
codecontests_cpp_1,L20H5,corrupt,5,251,</think>,0.03585779666900635
codecontests_java_1,L2H14,clean,1,18, query,0.0642862319946289
codecontests_java_1,L2H14,clean,2,246,\n\n,0.05779576301574707
codecontests_java_1,L2H14,clean,3,241,assistant,0.04913939908146858
codecontests_java_1,L2H14,clean,4,149, below,0.04357257857918739
codecontests_java_1,L2H14,clean,5,38,"{""",0.032366469502449036
codecontests_java_1,L2H14,corrupt,1,135, the,0.14765368402004242
codecontests_java_1,L2H14,corrupt,2,18, query,0.054308608174324036
codecontests_java_1,L2H14,corrupt,3,246,\n\n,0.04663011059165001
codecontests_java_1,L2H14,corrupt,4,241,assistant,0.04343552887439728
codecontests_java_1,L2H14,corrupt,5,149, below,0.039560724049806595
codecontests_java_1,L16H8,clean,1,86,}\n,0.06430789828300476
codecontests_java_1,L16H8,clean,2,93, call,0.04153934866189957
codecontests_java_1,L16H8,clean,3,242,\n,0.0404173918068409
codecontests_java_1,L16H8,clean,4,227, {\n,0.034332260489463806
codecontests_java_1,L16H8,clean,5,49,""",""",0.02812620997428894
codecontests_java_1,L16H8,corrupt,1,136, function,0.05389738455414772
codecontests_java_1,L16H8,corrupt,2,242,\n,0.051252685487270355
codecontests_java_1,L16H8,corrupt,3,137, body,0.039894167333841324
codecontests_java_1,L16H8,corrupt,4,237,}\n,0.03708646446466446
codecontests_java_1,L16H8,corrupt,5,227, {\n,0.03670375421643257
codecontests_java_1,L17H2,clean,1,0,<|im_start|>,0.1481384038925171
codecontests_java_1,L17H2,clean,2,244,\n\n,0.05886349454522133
codecontests_java_1,L17H2,clean,3,246,\n\n,0.04952677711844444
codecontests_java_1,L17H2,clean,4,130,\n,0.04668833687901497
codecontests_java_1,L17H2,clean,5,88,tools,0.03911234438419342
codecontests_java_1,L17H2,corrupt,1,0,<|im_start|>,0.2393929809331894
codecontests_java_1,L17H2,corrupt,2,244,\n\n,0.05594884976744652
codecontests_java_1,L17H2,corrupt,3,238,<|im_end|>,0.04785915091633797
codecontests_java_1,L17H2,corrupt,4,246,\n\n,0.03849289193749428
codecontests_java_1,L17H2,corrupt,5,88,tools,0.03402620926499367
codecontests_java_1,L17H8,clean,1,0,<|im_start|>,0.12892310321331024
codecontests_java_1,L17H8,clean,2,242,\n,0.05344720929861069
codecontests_java_1,L17H8,clean,3,146, and,0.038526952266693115
codecontests_java_1,L17H8,clean,4,130,\n,0.03255253657698631
codecontests_java_1,L17H8,clean,5,35,<,0.02908230945467949
codecontests_java_1,L17H8,corrupt,1,0,<|im_start|>,0.24693651497364044
codecontests_java_1,L17H8,corrupt,2,242,\n,0.06364799290895462
codecontests_java_1,L17H8,corrupt,3,150,:\n,0.028063897043466568
codecontests_java_1,L17H8,corrupt,4,89,>\n\n,0.021844973787665367
codecontests_java_1,L17H8,corrupt,5,146, and,0.020988760516047478
codecontests_java_1,L20H5,clean,1,29,></,0.1929437518119812
codecontests_java_1,L20H5,clean,2,28,tools,0.09272006899118423
codecontests_java_1,L20H5,clean,3,108, XML,0.06459041684865952
codecontests_java_1,L20H5,clean,4,109, tags,0.061357203871011734
codecontests_java_1,L20H5,clean,5,27, <,0.05889667943120003
codecontests_java_1,L20H5,corrupt,1,29,></,0.09967333823442459
codecontests_java_1,L20H5,corrupt,2,245,</think>,0.09406251460313797
codecontests_java_1,L20H5,corrupt,3,137, body,0.079491525888443
codecontests_java_1,L20H5,corrupt,4,0,<|im_start|>,0.0786159411072731
codecontests_java_1,L20H5,corrupt,5,237,}\n,0.07163745164871216
mbpp_python_1,L2H14,clean,1,18, query,0.07871535420417786
mbpp_python_1,L2H14,clean,2,302,\n\n,0.05751994624733925
mbpp_python_1,L2H14,clean,3,297,assistant,0.04618358984589577
mbpp_python_1,L2H14,clean,4,151, below,0.03778612241148949
mbpp_python_1,L2H14,clean,5,137, the,0.03005049005150795
mbpp_python_1,L2H14,corrupt,1,18, query,0.0827343538403511
mbpp_python_1,L2H14,corrupt,2,302,\n\n,0.059049248695373535
mbpp_python_1,L2H14,corrupt,3,297,assistant,0.04752189666032791
mbpp_python_1,L2H14,corrupt,4,151, below,0.03656110540032387
mbpp_python_1,L2H14,corrupt,5,160," """"""\n",0.03088950179517269
mbpp_python_1,L16H8,clean,1,298,\n,0.07405602186918259
mbpp_python_1,L16H8,clean,2,143, based,0.07108516991138458
mbpp_python_1,L16H8,clean,3,292, pass,0.051495715975761414
mbpp_python_1,L16H8,clean,4,291,   ,0.04666518792510033
mbpp_python_1,L16H8,clean,5,293,\n,0.04334079474210739
mbpp_python_1,L16H8,corrupt,1,298,\n,0.06631147861480713
mbpp_python_1,L16H8,corrupt,2,292, pass,0.06042221933603287
mbpp_python_1,L16H8,corrupt,3,293,\n,0.059171609580516815
mbpp_python_1,L16H8,corrupt,4,138, function,0.05442889779806137
mbpp_python_1,L16H8,corrupt,5,139, body,0.053563542664051056
mbpp_python_1,L17H2,clean,1,0,<|im_start|>,0.15273819863796234
mbpp_python_1,L17H2,clean,2,302,\n\n,0.07376933097839355
mbpp_python_1,L17H2,clean,3,298,\n,0.05713852122426033
mbpp_python_1,L17H2,clean,4,300,\n\n,0.05268542841076851
mbpp_python_1,L17H2,clean,5,130,\n,0.047756411135196686
mbpp_python_1,L17H2,corrupt,1,0,<|im_start|>,0.26285427808761597
mbpp_python_1,L17H2,corrupt,2,302,\n\n,0.07743098586797714
mbpp_python_1,L17H2,corrupt,3,300,\n\n,0.07230567932128906
mbpp_python_1,L17H2,corrupt,4,3,#,0.02643282525241375
mbpp_python_1,L17H2,corrupt,5,298,\n,0.02440115436911583
mbpp_python_1,L17H8,clean,1,0,<|im_start|>,0.1777295619249344
mbpp_python_1,L17H8,clean,2,302,\n\n,0.054965194314718246
mbpp_python_1,L17H8,clean,3,130,\n,0.03803803771734238
mbpp_python_1,L17H8,clean,4,108, XML,0.029757700860500336
mbpp_python_1,L17H8,clean,5,298,\n,0.02472393587231636
mbpp_python_1,L17H8,corrupt,1,0,<|im_start|>,0.2694878578186035
mbpp_python_1,L17H8,corrupt,2,302,\n\n,0.03599577769637108
mbpp_python_1,L17H8,corrupt,3,142,.py,0.028412342071533203
mbpp_python_1,L17H8,corrupt,4,47,write,0.02348640188574791
mbpp_python_1,L17H8,corrupt,5,58,""":""",0.021435167640447617
mbpp_python_1,L20H5,clean,1,29,></,0.21582987904548645
mbpp_python_1,L20H5,clean,2,142,.py,0.13782478868961334
mbpp_python_1,L20H5,clean,3,301,</think>,0.12236372381448746
mbpp_python_1,L20H5,clean,4,27, <,0.09007790684700012
mbpp_python_1,L20H5,clean,5,108, XML,0.02805514633655548
mbpp_python_1,L20H5,corrupt,1,142,.py,0.15493787825107574
mbpp_python_1,L20H5,corrupt,2,301,</think>,0.12435997277498245
mbpp_python_1,L20H5,corrupt,3,29,></,0.12382777035236359
mbpp_python_1,L20H5,corrupt,4,139, body,0.08840394765138626
mbpp_python_1,L20H5,corrupt,5,0,<|im_start|>,0.0451454296708107
codecontests_java_2,L2H14,clean,1,150, below,0.06210935115814209
codecontests_java_2,L2H14,clean,2,288,\n\n,0.05496279522776604
codecontests_java_2,L2H14,clean,3,18, query,0.04496254771947861
codecontests_java_2,L2H14,clean,4,283,assistant,0.04414064437150955
codecontests_java_2,L2H14,clean,5,136, the,0.028905684128403664
codecontests_java_2,L2H14,corrupt,1,136, the,0.11164852231740952
codecontests_java_2,L2H14,corrupt,2,150, below,0.04792020469903946
codecontests_java_2,L2H14,corrupt,3,288,\n\n,0.04568793997168541
codecontests_java_2,L2H14,corrupt,4,18, query,0.04059065133333206
codecontests_java_2,L2H14,corrupt,5,135,ise,0.03903821483254433
codecontests_java_2,L16H8,clean,1,284,\n,0.053114574402570724
codecontests_java_2,L16H8,clean,2,93, call,0.051852814853191376
codecontests_java_2,L16H8,clean,3,142, based,0.04976968094706535
codecontests_java_2,L16H8,clean,4,151,:\n,0.03717902675271034
codecontests_java_2,L16H8,clean,5,86,}\n,0.03411342203617096
codecontests_java_2,L16H8,corrupt,1,138, body,0.0670708417892456
codecontests_java_2,L16H8,corrupt,2,284,\n,0.054471611976623535
codecontests_java_2,L16H8,corrupt,3,151,:\n,0.04070396348834038
codecontests_java_2,L16H8,corrupt,4,142, based,0.03990164399147034
codecontests_java_2,L16H8,corrupt,5,137, function,0.03828578069806099
codecontests_java_2,L17H2,clean,1,0,<|im_start|>,0.20057691633701324
codecontests_java_2,L17H2,clean,2,286,\n\n,0.05705341696739197
codecontests_java_2,L17H2,clean,3,288,\n\n,0.056791599839925766
codecontests_java_2,L17H2,clean,4,19,.\n\n,0.05116128548979759
codecontests_java_2,L17H2,clean,5,280,<|im_end|>,0.04055149108171463
codecontests_java_2,L17H2,corrupt,1,0,<|im_start|>,0.23633308708667755
codecontests_java_2,L17H2,corrupt,2,286,\n\n,0.058001697063446045
codecontests_java_2,L17H2,corrupt,3,280,<|im_end|>,0.04533044621348381
codecontests_java_2,L17H2,corrupt,4,288,\n\n,0.03868185356259346
codecontests_java_2,L17H2,corrupt,5,19,.\n\n,0.03405681625008583
codecontests_java_2,L17H8,clean,1,0,<|im_start|>,0.20198610424995422
codecontests_java_2,L17H8,clean,2,147, and,0.035969868302345276
codecontests_java_2,L17H8,clean,3,284,\n,0.03164684399962425
codecontests_java_2,L17H8,clean,4,288,\n\n,0.02672284096479416
codecontests_java_2,L17H8,clean,5,286,\n\n,0.023544641211628914
codecontests_java_2,L17H8,corrupt,1,0,<|im_start|>,0.21906152367591858
codecontests_java_2,L17H8,corrupt,2,284,\n,0.04600865766406059
codecontests_java_2,L17H8,corrupt,3,151,:\n,0.033889055252075195
codecontests_java_2,L17H8,corrupt,4,147, and,0.029492780566215515
codecontests_java_2,L17H8,corrupt,5,152,/*\n,0.023581042885780334
codecontests_java_2,L20H5,clean,1,29,></,0.22248519957065582
codecontests_java_2,L20H5,clean,2,109, tags,0.06808803230524063
codecontests_java_2,L20H5,clean,3,28,tools,0.061318837106227875
codecontests_java_2,L20H5,clean,4,27, <,0.0578533336520195
codecontests_java_2,L20H5,clean,5,108, XML,0.05493493378162384
codecontests_java_2,L20H5,corrupt,1,138, body,0.1692950278520584
codecontests_java_2,L20H5,corrupt,2,29,></,0.12943944334983826
codecontests_java_2,L20H5,corrupt,3,287,</think>,0.07597265392541885
codecontests_java_2,L20H5,corrupt,4,141,.java,0.06085972860455513
codecontests_java_2,L20H5,corrupt,5,0,<|im_start|>,0.05119675397872925
codecontests_cpp_3,L2H14,clean,1,135, the,0.05847826600074768
codecontests_cpp_3,L2H14,clean,2,18, query,0.05424140766263008
codecontests_cpp_3,L2H14,clean,3,239,assistant,0.050368648022413254
codecontests_cpp_3,L2H14,clean,4,244,\n\n,0.04931196570396423
codecontests_cpp_3,L2H14,clean,5,149, below,0.03341101109981537
codecontests_cpp_3,L2H14,corrupt,1,135, the,0.08749796450138092
codecontests_cpp_3,L2H14,corrupt,2,18, query,0.05181724950671196
codecontests_cpp_3,L2H14,corrupt,3,239,assistant,0.0473865307867527
codecontests_cpp_3,L2H14,corrupt,4,244,\n\n,0.045682571828365326
codecontests_cpp_3,L2H14,corrupt,5,134,Implement,0.03213341534137726
codecontests_cpp_3,L16H8,clean,1,240,\n,0.05663890764117241
codecontests_cpp_3,L16H8,clean,2,141, based,0.037123240530490875
codecontests_cpp_3,L16H8,clean,3,93, call,0.0346842035651207
codecontests_cpp_3,L16H8,clean,4,235,}\n,0.03157222643494606
codecontests_cpp_3,L16H8,clean,5,86,}\n,0.030798032879829407
codecontests_cpp_3,L16H8,corrupt,1,240,\n,0.06373695284128189
codecontests_cpp_3,L16H8,corrupt,2,227, //,0.044595737010240555
codecontests_cpp_3,L16H8,corrupt,3,235,}\n,0.04352090507745743
codecontests_cpp_3,L16H8,corrupt,4,225, {\n,0.032907020300626755
codecontests_cpp_3,L16H8,corrupt,5,0,<|im_start|>,0.032197900116443634
codecontests_cpp_3,L17H2,clean,1,0,<|im_start|>,0.16109232604503632
codecontests_cpp_3,L17H2,clean,2,242,\n\n,0.06253598630428314
codecontests_cpp_3,L17H2,clean,3,244,\n\n,0.06119759380817413
codecontests_cpp_3,L17H2,clean,4,236,<|im_end|>,0.03904670849442482
codecontests_cpp_3,L17H2,clean,5,19,.\n\n,0.03722960874438286
codecontests_cpp_3,L17H2,corrupt,1,0,<|im_start|>,0.20949162542819977
codecontests_cpp_3,L17H2,corrupt,2,244,\n\n,0.07335860282182693
codecontests_cpp_3,L17H2,corrupt,3,242,\n\n,0.06023453176021576
codecontests_cpp_3,L17H2,corrupt,4,19,.\n\n,0.03692404925823212
codecontests_cpp_3,L17H2,corrupt,5,236,<|im_end|>,0.03171655163168907
codecontests_cpp_3,L17H8,clean,1,0,<|im_start|>,0.17179331183433533
codecontests_cpp_3,L17H8,clean,2,146, and,0.028998279944062233
codecontests_cpp_3,L17H8,clean,3,244,\n\n,0.027433505281805992
codecontests_cpp_3,L17H8,clean,4,240,\n,0.02650376595556736
codecontests_cpp_3,L17H8,clean,5,150,:\n,0.02575431577861309
codecontests_cpp_3,L17H8,corrupt,1,0,<|im_start|>,0.20028306543827057
codecontests_cpp_3,L17H8,corrupt,2,240,\n,0.038539595901966095
codecontests_cpp_3,L17H8,corrupt,3,146, and,0.03512297570705414
codecontests_cpp_3,L17H8,corrupt,4,244,\n\n,0.026839572936296463
codecontests_cpp_3,L17H8,corrupt,5,35,<,0.02444770745933056
codecontests_cpp_3,L20H5,clean,1,29,></,0.18665528297424316
codecontests_cpp_3,L20H5,clean,2,140,.cpp,0.08046316355466843
codecontests_cpp_3,L20H5,clean,3,97, json,0.05773389711976051
codecontests_cpp_3,L20H5,clean,4,243,</think>,0.05453738197684288
codecontests_cpp_3,L20H5,clean,5,27, <,0.04984454810619354
codecontests_cpp_3,L20H5,corrupt,1,29,></,0.13405299186706543
codecontests_cpp_3,L20H5,corrupt,2,140,.cpp,0.12350258976221085
codecontests_cpp_3,L20H5,corrupt,3,137, body,0.07617580890655518
codecontests_cpp_3,L20H5,corrupt,4,0,<|im_start|>,0.051988229155540466
codecontests_cpp_3,L20H5,corrupt,5,243,</think>,0.0511724129319191
codecontests_java_3,L2H14,clean,1,239,\n\n,0.05628174543380737
codecontests_java_3,L2H14,clean,2,18, query,0.05278943479061127
codecontests_java_3,L2H14,clean,3,234,assistant,0.05011094734072685
codecontests_java_3,L2H14,clean,4,149, below,0.03769824281334877
codecontests_java_3,L2H14,clean,5,38,"{""",0.02589200995862484
codecontests_java_3,L2H14,corrupt,1,135, the,0.14774812757968903
codecontests_java_3,L2H14,corrupt,2,239,\n\n,0.04734091833233833
codecontests_java_3,L2H14,corrupt,3,18, query,0.04423617571592331
codecontests_java_3,L2H14,corrupt,4,234,assistant,0.04342958331108093
codecontests_java_3,L2H14,corrupt,5,149, below,0.034798964858055115
codecontests_java_3,L16H8,clean,1,86,}\n,0.05488014966249466
codecontests_java_3,L16H8,clean,2,220, {\n,0.05421724542975426
codecontests_java_3,L16H8,clean,3,93, call,0.03974642604589462
codecontests_java_3,L16H8,clean,4,235,\n,0.035478293895721436
codecontests_java_3,L16H8,clean,5,144, function,0.025431716814637184
codecontests_java_3,L16H8,corrupt,1,136, function,0.053357649594545364
codecontests_java_3,L16H8,corrupt,2,235,\n,0.051802292466163635
codecontests_java_3,L16H8,corrupt,3,220, {\n,0.049554888159036636
codecontests_java_3,L16H8,corrupt,4,144, function,0.034838929772377014
codecontests_java_3,L16H8,corrupt,5,141, based,0.03399685397744179
codecontests_java_3,L17H2,clean,1,0,<|im_start|>,0.16076824069023132
codecontests_java_3,L17H2,clean,2,239,\n\n,0.03968579322099686
codecontests_java_3,L17H2,clean,3,130,\n,0.039432987570762634
codecontests_java_3,L17H2,clean,4,88,tools,0.035888053476810455
codecontests_java_3,L17H2,clean,5,237,\n\n,0.03348587825894356
codecontests_java_3,L17H2,corrupt,1,0,<|im_start|>,0.19416767358779907
codecontests_java_3,L17H2,corrupt,2,231,<|im_end|>,0.04628802463412285
codecontests_java_3,L17H2,corrupt,3,88,tools,0.03703610226511955
codecontests_java_3,L17H2,corrupt,4,237,\n\n,0.03701851889491081
codecontests_java_3,L17H2,corrupt,5,19,.\n\n,0.03547479212284088
codecontests_java_3,L17H8,clean,1,0,<|im_start|>,0.1462957262992859
codecontests_java_3,L17H8,clean,2,146, and,0.0409112386405468
codecontests_java_3,L17H8,clean,3,130,\n,0.03493305668234825
codecontests_java_3,L17H8,clean,4,235,\n,0.03209240362048149
codecontests_java_3,L17H8,clean,5,239,\n\n,0.026639891788363457
codecontests_java_3,L17H8,corrupt,1,0,<|im_start|>,0.2563227117061615
codecontests_java_3,L17H8,corrupt,2,235,\n,0.03602263331413269
codecontests_java_3,L17H8,corrupt,3,146, and,0.03307618573307991
codecontests_java_3,L17H8,corrupt,4,150,:\n,0.03019074909389019
codecontests_java_3,L17H8,corrupt,5,151,/*\n,0.021058212965726852
codecontests_java_3,L20H5,clean,1,29,></,0.22455087304115295
codecontests_java_3,L20H5,clean,2,238,</think>,0.07304518669843674
codecontests_java_3,L20H5,clean,3,28,tools,0.06299297511577606
codecontests_java_3,L20H5,clean,4,109, tags,0.05919110029935837
codecontests_java_3,L20H5,clean,5,27, <,0.058347273617982864
codecontests_java_3,L20H5,corrupt,1,29,></,0.13434332609176636
codecontests_java_3,L20H5,corrupt,2,238,</think>,0.12268128246068954
codecontests_java_3,L20H5,corrupt,3,137, body,0.0855315551161766
codecontests_java_3,L20H5,corrupt,4,0,<|im_start|>,0.08292746543884277
codecontests_java_3,L20H5,corrupt,5,140,.java,0.04647060111165047
apps_python_4,L2H14,clean,1,18, query,0.057941704988479614
apps_python_4,L2H14,clean,2,136, the,0.0559040829539299
apps_python_4,L2H14,clean,3,239,\n\n,0.04791194573044777
apps_python_4,L2H14,clean,4,234,assistant,0.041733209043741226
apps_python_4,L2H14,clean,5,150, below,0.026870721951127052
apps_python_4,L2H14,corrupt,1,18, query,0.06418508291244507
apps_python_4,L2H14,corrupt,2,239,\n\n,0.04805789515376091
apps_python_4,L2H14,corrupt,3,234,assistant,0.04430253058671951
apps_python_4,L2H14,corrupt,4,136, the,0.038328252732753754
apps_python_4,L2H14,corrupt,5,150, below,0.028432538732886314
apps_python_4,L16H8,clean,1,235,\n,0.08566465973854065
apps_python_4,L16H8,clean,2,142, based,0.08331315964460373
apps_python_4,L16H8,clean,3,86,}\n,0.04768793284893036
apps_python_4,L16H8,clean,4,137, function,0.04405200481414795
apps_python_4,L16H8,clean,5,232,\n,0.035022884607315063
apps_python_4,L16H8,corrupt,1,137, function,0.07385460287332535
apps_python_4,L16H8,corrupt,2,235,\n,0.07281909137964249
apps_python_4,L16H8,corrupt,3,151,:\n,0.053741537034511566
apps_python_4,L16H8,corrupt,4,142, based,0.04932311177253723
apps_python_4,L16H8,corrupt,5,138, body,0.04691946133971214
apps_python_4,L17H2,clean,1,0,<|im_start|>,0.10934015363454819
apps_python_4,L17H2,clean,2,239,\n\n,0.05245562642812729
apps_python_4,L17H2,clean,3,235,\n,0.051588330417871475
apps_python_4,L17H2,clean,4,237,\n\n,0.044985756278038025
apps_python_4,L17H2,clean,5,130,\n,0.03774959594011307
apps_python_4,L17H2,corrupt,1,0,<|im_start|>,0.15523509681224823
apps_python_4,L17H2,corrupt,2,237,\n\n,0.06637458503246307
apps_python_4,L17H2,corrupt,3,239,\n\n,0.051284193992614746
apps_python_4,L17H2,corrupt,4,235,\n,0.04341169074177742
apps_python_4,L17H2,corrupt,5,138, body,0.03383796289563179
apps_python_4,L17H8,clean,1,0,<|im_start|>,0.1291688233613968
apps_python_4,L17H8,clean,2,235,\n,0.06471545994281769
apps_python_4,L17H8,clean,3,85,}},0.05695813521742821
apps_python_4,L17H8,clean,4,86,}\n,0.04894072562456131
apps_python_4,L17H8,clean,5,130,\n,0.036978453397750854
apps_python_4,L17H8,corrupt,1,0,<|im_start|>,0.262376606464386
apps_python_4,L17H8,corrupt,2,235,\n,0.05634361878037453
apps_python_4,L17H8,corrupt,3,239,\n\n,0.025782214477658272
apps_python_4,L17H8,corrupt,4,89,>\n\n,0.023210600018501282
apps_python_4,L17H8,corrupt,5,85,}},0.02227601408958435
apps_python_4,L20H5,clean,1,29,></,0.2646355628967285
apps_python_4,L20H5,clean,2,141,.py,0.13007231056690216
apps_python_4,L20H5,clean,3,27, <,0.0618094727396965
apps_python_4,L20H5,clean,4,108, XML,0.057492565363645554
apps_python_4,L20H5,clean,5,238,</think>,0.054093025624752045
apps_python_4,L20H5,corrupt,1,141,.py,0.2207680344581604
apps_python_4,L20H5,corrupt,2,29,></,0.11019075661897659
apps_python_4,L20H5,corrupt,3,138, body,0.1083652526140213
apps_python_4,L20H5,corrupt,4,149,string,0.07584358006715775
apps_python_4,L20H5,corrupt,5,238,</think>,0.06898422539234161
codecontests_cpp_4,L2H14,clean,1,242,\n\n,0.053592100739479065
