head,variant,rank,token,count,attn_median
L16H8,clean,5, ,1,0.0299935732036829
L16H8,clean,5,   ,14,0.040194492787122726
L16H8,clean,5," """";\n",1,0.0306865107268095
L16H8,clean,5, //,8,0.03327183611690998
L16H8,clean,5, and,17,0.035580527037382126
L16H8,clean,5, based,72,0.034209081903100014
L16H8,clean,5, body,69,0.036369483917951584
L16H8,clean,5, call,177,0.0340588204562664
L16H8,clean,5, function,295,0.03519776836037636
L16H8,clean,5, on,24,0.03511848486959934
L16H8,clean,5, pass,7,0.04273343086242676
L16H8,clean,5, {\n,50,0.032180238515138626
L16H8,clean,5,""",""",60,0.031650716438889503
L16H8,clean,5,""":""",24,0.03573122248053551
L16H8,clean,5,(,1,0.040955059230327606
L16H8,clean,5,"."",""",27,0.03632539510726929
L16H8,clean,5,.cpp,1,0.03131410479545593
L16H8,clean,5,.py,8,0.04087280295789242
L16H8,clean,5,0,1,0.03163990005850792
L16H8,clean,5,1,1,0.03313491865992546
L16H8,clean,5,9,1,0.03026808425784111
L16H8,clean,5,:\n,220,0.034392060711979866
L16H8,clean,5,</,7,0.02918698824942112
L16H8,clean,5,<|im_start|>,97,0.03087019734084606
L16H8,clean,5,>\n\n,2,0.030435089953243732
L16H8,clean,5,>}\n,2,0.03172364830970764
L16H8,clean,5,\n,207,0.03913607820868492
L16H8,clean,5,\n\n,26,0.032043540850281715
L16H8,clean,5,_file,1,0.040519941598176956
L16H8,clean,5,static,5,0.03343581035733223
L16H8,clean,5,}\n,296,0.03470213711261749
L16H8,corrupt,1, ,2,0.07233664020895958
L16H8,corrupt,1,   ,3,0.07230711728334427
L16H8,corrupt,1, //,2,0.0547364242374897
L16H8,corrupt,1, based,150,0.07959265261888504
L16H8,corrupt,1, body,99,0.06999484449625015
L16H8,corrupt,1, call,6,0.046617794781923294
L16H8,corrupt,1, function,403,0.07409477233886719
L16H8,corrupt,1, {\n,6,0.05448858439922333
L16H8,corrupt,1,4,1,0.049628548324108124
L16H8,corrupt,1,<|im_start|>,1,0.05031614750623703
L16H8,corrupt,1,ANE,1,0.0719161406159401
L16H8,corrupt,1,\n,1047,0.07056396454572678
L16H8,corrupt,1,}\n,1,0.04787847027182579
L16H8,corrupt,2, ,2,0.04466802254319191
L16H8,corrupt,2,   ,13,0.05297327786684036
L16H8,corrupt,2, //,25,0.04845604673027992
L16H8,corrupt,2, based,274,0.05735310539603233
L16H8,corrupt,2, body,182,0.059560997411608696
L16H8,corrupt,2, call,24,0.0400509275496006
L16H8,corrupt,2, function,443,0.05250878259539604
L16H8,corrupt,2, pass,3,0.05861516296863556
L16H8,corrupt,2, {\n,24,0.04982825182378292
L16H8,corrupt,2,"."",""",1,0.045228566974401474
L16H8,corrupt,2,:\n,6,0.042541736736893654
L16H8,corrupt,2,<|im_start|>,30,0.0434102900326252
L16H8,corrupt,2,\n,622,0.06009392812848091
L16H8,corrupt,2,\n\n,2,0.042674796655774117
L16H8,corrupt,2,static,1,0.0436137430369854
L16H8,corrupt,2,}\n,70,0.04669465683400631
L16H8,corrupt,3, ,2,0.05066233314573765
L16H8,corrupt,3,   ,12,0.05101308971643448
L16H8,corrupt,3," """";\n",1,0.03893788531422615
L16H8,corrupt,3, //,38,0.04037667624652386
L16H8,corrupt,3, based,317,0.04824189469218254
L16H8,corrupt,3, body,305,0.048975858837366104
L16H8,corrupt,3, call,53,0.03795449063181877
L16H8,corrupt,3, function,323,0.04736170917749405
L16H8,corrupt,3, pass,10,0.054288240149617195
L16H8,corrupt,3, {\n,77,0.041378576308488846
L16H8,corrupt,3,""",""",1,0.03769758343696594
L16H8,corrupt,3,(,1,0.051024287939071655
L16H8,corrupt,3,"."",""",1,0.03857453167438507
L16H8,corrupt,3,.py,1,0.044605180621147156
L16H8,corrupt,3,:\n,51,0.04250716418027878
L16H8,corrupt,3,<|im_start|>,53,0.03972131013870239
L16H8,corrupt,3,>\n\n,2,0.03208898939192295
L16H8,corrupt,3,\n,341,0.055210746824741364
L16H8,corrupt,3,\n\n,4,0.04025251790881157
L16H8,corrupt,3,tools,2,0.03306953422725201
L16H8,corrupt,3,}\n,127,0.04024350643157959
L16H8,corrupt,4,   ,8,0.043409693986177444
L16H8,corrupt,4," """";\n",1,0.035000380128622055
L16H8,corrupt,4, //,32,0.0363147035241127
L16H8,corrupt,4, based,214,0.044392338022589684
L16H8,corrupt,4, body,144,0.04474514536559582
L16H8,corrupt,4, call,94,0.034695740789175034
L16H8,corrupt,4, function,358,0.039744166657328606
L16H8,corrupt,4, pass,18,0.047822680324316025
L16H8,corrupt,4, {\n,57,0.03592576086521149
L16H8,corrupt,4,""",""",3,0.03507760167121887
L16H8,corrupt,4,"."",""",13,0.03746281564235687
L16H8,corrupt,4,2,1,0.03265068307518959
L16H8,corrupt,4,:\n,249,0.03970043361186981
L16H8,corrupt,4,<|im_start|>,61,0.03696513921022415
L16H8,corrupt,4,>\n\n,5,0.032411128282547
L16H8,corrupt,4,\n,246,0.04948064684867859
L16H8,corrupt,4,\n\n,13,0.036321453750133514
L16H8,corrupt,4,static,10,0.035807495936751366
L16H8,corrupt,4,}\n,195,0.03648746758699417
L16H8,corrupt,5,   ,21,0.040139276534318924
L16H8,corrupt,5, //,32,0.03259679861366749
L16H8,corrupt,5, arr,1,0.05009084939956665
L16H8,corrupt,5, based,162,0.038174182176589966
L16H8,corrupt,5, body,105,0.040819257497787476
L16H8,corrupt,5, call,91,0.0329747200012207
L16H8,corrupt,5, function,341,0.036598704755306244
L16H8,corrupt,5, pass,21,0.04202713817358017
L16H8,corrupt,5, {\n,61,0.03330999240279198
L16H8,corrupt,5,""",""",7,0.03410383686423302
L16H8,corrupt,5,"."",""",22,0.03400709107518196
L16H8,corrupt,5,.cpp,5,0.035985104739665985
L16H8,corrupt,5,.py,16,0.04208545945584774
L16H8,corrupt,5,1,1,0.03427506983280182
L16H8,corrupt,5,2,1,0.035712458193302155
L16H8,corrupt,5,:\n,282,0.03624231182038784
L16H8,corrupt,5,<|im_start|>,91,0.036840587854385376
L16H8,corrupt,5,>\n\n,27,0.03012140467762947
L16H8,corrupt,5,>}\n,1,0.028572550043463707
L16H8,corrupt,5,\n,176,0.04402911476790905
L16H8,corrupt,5,\n\n,12,0.03642253950238228
L16H8,corrupt,5,static,13,0.031299788504838943
L16H8,corrupt,5,tools,3,0.032418143004179
L16H8,corrupt,5,}\n,230,0.033470941707491875
L17H2,clean,1,<|im_start|>,1721,0.15019474923610687
L17H2,clean,1,\n,1,0.06964097172021866
L17H2,clean,2, {\n,17,0.04443669319152832
L17H2,clean,2,.\n\n,15,0.05049428343772888
L17H2,clean,2,<|im_end|>,49,0.04689672589302063
L17H2,clean,2,<|im_start|>,1,0.06764134019613266
L17H2,clean,2,>}\n,5,0.053679078817367554
L17H2,clean,2,\n,309,0.053531695157289505
L17H2,clean,2,\n\n,1286,0.06020312383770943
L17H2,clean,2,tools,40,0.0435918141156435
L17H2,clean,3, body,4,0.04999973624944687
L17H2,clean,3, pass,2,0.0437086783349514
L17H2,clean,3, {\n,14,0.03927510790526867
L17H2,clean,3,.\n\n,40,0.04570218734443188
L17H2,clean,3,<|im_end|>,58,0.04316449910402298
L17H2,clean,3,>}\n,16,0.047527024522423744
L17H2,clean,3,\n,257,0.04649181291460991
L17H2,clean,3,\n\n,1255,0.05113102123141289
L17H2,clean,3,_D,1,0.034640949219465256
L17H2,clean,3,tools,75,0.040743228048086166
L17H2,clean,4, body,2,0.042497001588344574
L17H2,clean,4, {\n,13,0.03550620377063751
L17H2,clean,4,.\n\n,229,0.03894798457622528
L17H2,clean,4,:\n,1,0.03832708299160004
L17H2,clean,4,<|im_end|>,134,0.03788585215806961
L17H2,clean,4,>}\n,16,0.03982369415462017
L17H2,clean,4,\n,651,0.041663795709609985
L17H2,clean,4,\n\n,445,0.042216602712869644
L17H2,clean,4,tools,231,0.03833955153822899
L17H2,clean,5, based,1,0.035478997975587845
L17H2,clean,5, body,3,0.036816418170928955
L17H2,clean,5, call,2,0.03727222606539726
L17H2,clean,5, function,1,0.028760358691215515
L17H2,clean,5, {\n,21,0.03356999158859253
L17H2,clean,5,.\n\n,281,0.0351659394800663
L17H2,clean,5,:\n,3,0.03714817762374878
L17H2,clean,5,<|im_end|>,160,0.03503091633319855
L17H2,clean,5,>}\n,23,0.03840113803744316
L17H2,clean,5,\n,663,0.03637705743312836
L17H2,clean,5,\n\n,238,0.037723299115896225
L17H2,clean,5,tools,326,0.03512493520975113
L17H2,corrupt,1,<|im_start|>,1722,0.1719965562224388
L17H2,corrupt,2, body,21,0.055971138179302216
L17H2,corrupt,2, the,2,0.03940107300877571
L17H2,corrupt,2, {\n,16,0.044947948306798935
L17H2,corrupt,2,.\n\n,10,0.04227809049189091
L17H2,corrupt,2,<|im_end|>,276,0.04932697117328644
L17H2,corrupt,2,\n,47,0.05487922579050064
L17H2,corrupt,2,\n\n,1253,0.06159622222185135
L17H2,corrupt,2,tools,97,0.043096866458654404
L17H2,corrupt,3, based,1,0.041319143027067184
L17H2,corrupt,3, body,19,0.04851716011762619
L17H2,corrupt,3, the,3,0.04021970555186272
L17H2,corrupt,3, {\n,38,0.03948868624866009
L17H2,corrupt,3,.\n\n,44,0.04109186679124832
L17H2,corrupt,3,<|im_end|>,144,0.0427642110735178
L17H2,corrupt,3,\n,55,0.04626473784446716
L17H2,corrupt,3,\n\n,1246,0.051664842292666435
L17H2,corrupt,3,tools,172,0.04117344319820404
L17H2,corrupt,4,   ,1,0.048604294657707214
L17H2,corrupt,4, and,4,0.03316706232726574
L17H2,corrupt,4, based,8,0.04305580072104931
L17H2,corrupt,4, body,37,0.04154388979077339
L17H2,corrupt,4, develop,8,0.032401202246546745
L17H2,corrupt,4, pass,3,0.03377922996878624
L17H2,corrupt,4, the,11,0.03909507021307945
L17H2,corrupt,4, {\n,38,0.03415487892925739
L17H2,corrupt,4,#,4,0.0363193042576313
L17H2,corrupt,4,.\n\n,329,0.03673344850540161
L17H2,corrupt,4,:\n,9,0.034885015338659286
L17H2,corrupt,4,<|im_end|>,296,0.0397851075977087
L17H2,corrupt,4,\n,356,0.03790841065347195
L17H2,corrupt,4,\n\n,277,0.03855288028717041
L17H2,corrupt,4,tools,341,0.0367620512843132
L17H2,corrupt,5,   ,1,0.030543595552444458
L17H2,corrupt,5, and,12,0.031117713078856468
L17H2,corrupt,5, based,3,0.03798750042915344
L17H2,corrupt,5, body,57,0.035998839884996414
L17H2,corrupt,5, develop,8,0.03178089298307896
L17H2,corrupt,5, pass,12,0.029793400317430496
L17H2,corrupt,5, the,24,0.03296294994652271
L17H2,corrupt,5, {\n,62,0.03239000402390957
L17H2,corrupt,5,#,9,0.03262440487742424
L17H2,corrupt,5,):\n,1,0.027621867135167122
L17H2,corrupt,5,.\n\n,429,0.03381890058517456
L17H2,corrupt,5,.py,3,0.03201918303966522
L17H2,corrupt,5,:\n,23,0.031821396201848984
L17H2,corrupt,5,<,1,0.027290616184473038
L17H2,corrupt,5,<|im_end|>,221,0.03299315646290779
L17H2,corrupt,5,\n,305,0.031828444451093674
L17H2,corrupt,5,\n\n,232,0.03458793833851814
L17H2,corrupt,5,static,1,0.03142176568508148
L17H2,corrupt,5,tools,318,0.03370385058224201
L17H8,clean,1,<|im_start|>,1718,0.1780606135725975
L17H8,clean,1,\n,4,0.07268091291189194
L17H8,clean,2, ,1,0.04324006289243698
L17H8,clean,2, XML,2,0.036939842626452446
L17H8,clean,2, and,329,0.04070267081260681
L17H8,clean,2,*/\n,1,0.03272883594036102
L17H8,clean,2,/*\n,2,0.03737539239227772
L17H8,clean,2,:\n,25,0.03744470328092575
L17H8,clean,2,<,6,0.037354592233896255
L17H8,clean,2,<|im_start|>,3,0.0612884946167469
L17H8,clean,2,>\n\n,1,0.0305793434381485
L17H8,clean,2,\n,1181,0.045793209224939346
L17H8,clean,2,\n\n,128,0.03842897526919842
L17H8,clean,2,write,1,0.03114481456577778
L17H8,clean,2,}\n,1,0.03857818618416786
L17H8,clean,2,}},41,0.04452088102698326
L17H8,clean,3, ,2,0.03189933579415083
L17H8,clean,3, XML,5,0.03589669615030289
L17H8,clean,3, and,287,0.032652247697114944
L17H8,clean,3, arr,1,0.0443212054669857
L17H8,clean,3, based,4,0.025064991787075996
L17H8,clean,3,""",""",5,0.03263724222779274
L17H8,clean,3,*/\n,2,0.02251708135008812
L17H8,clean,3,"."",""",6,0.03028154280036688
L17H8,clean,3,/*\n,30,0.02857405785471201
L17H8,clean,3,:\n,86,0.03223982825875282
L17H8,clean,3,<,102,0.033810924738645554
L17H8,clean,3,<|im_start|>,1,0.0578431710600853
L17H8,clean,3,>\n\n,5,0.0313124842941761
L17H8,clean,3,\n,506,0.033533623442053795
L17H8,clean,3,\n\n,470,0.03148437663912773
L17H8,clean,3,_D,1,0.033117037266492844
L17H8,clean,3,write,4,0.029952242970466614
L17H8,clean,3,"{""",1,0.039152566343545914
L17H8,clean,3,}\n,13,0.039121128618717194
L17H8,clean,3,}},191,0.03752406686544418
L17H8,clean,4, ,1,0.04682978615164757
L17H8,clean,4, XML,21,0.029757700860500336
L17H8,clean,4, and,164,0.02743989508599043
L17H8,clean,4, based,6,0.022907023318111897
L17H8,clean,4, body,1,0.0341673381626606
L17H8,clean,4, in,1,0.03682363033294678
L17H8,clean,4,""",""",11,0.030941970646381378
L17H8,clean,4,""":""",10,0.029919187538325787
L17H8,clean,4,*/\n,3,0.024498039856553078
L17H8,clean,4,"."",""",17,0.025862161070108414
L17H8,clean,4,/*\n,72,0.026263948529958725
L17H8,clean,4,:\n,197,0.028155792504549026
L17H8,clean,4,<,98,0.02901750896126032
L17H8,clean,4,>\n\n,23,0.0263935849070549
L17H8,clean,4,\n,416,0.029288407415151596
L17H8,clean,4,\n\n,437,0.02788887917995453
L17H8,clean,4,assistant,1,0.02533309906721115
L17H8,clean,4,write,7,0.02779388800263405
L17H8,clean,4,"{""",3,0.02482476830482483
L17H8,clean,4,}\n,73,0.03768935427069664
L17H8,clean,4,}},160,0.029055645689368248
L17H8,clean,5, XML,44,0.02398597076535225
L17H8,clean,5, and,122,0.025024292059242725
L17H8,clean,5, based,19,0.023236440494656563
L17H8,clean,5, definition,2,0.022219491191208363
L17H8,clean,5, in,4,0.025130867026746273
L17H8,clean,5, tags,2,0.03435593191534281
L17H8,clean,5,""",""",40,0.033572131767868996
L17H8,clean,5,""":""",35,0.0298622976988554
L17H8,clean,5,*/\n,4,0.01901976391673088
L17H8,clean,5,"."",""",23,0.02474086731672287
L17H8,clean,5,/*\n,94,0.02350102923810482
L17H8,clean,5,0,1,0.02992159314453602
L17H8,clean,5,:\n,237,0.02414511889219284
L17H8,clean,5,<,95,0.024836735799908638
L17H8,clean,5,>\n\n,38,0.02332253847271204
L17H8,clean,5,\n,254,0.024699990637600422
L17H8,clean,5,\n\n,394,0.02534007839858532
L17H8,clean,5,assistant,6,0.022226490080356598
L17H8,clean,5,static,3,0.025702133774757385
L17H8,clean,5,write,26,0.025683941319584846
L17H8,clean,5,"{""",3,0.02379184402525425
L17H8,clean,5,}\n,142,0.02957429178059101
L17H8,clean,5,}},134,0.025303760543465614
L17H8,corrupt,1,<|im_start|>,1722,0.22381922602653503
L17H8,corrupt,2, ,1,0.03331265226006508
L17H8,corrupt,2, and,111,0.03985843434929848
L17H8,corrupt,2, based,4,0.0281816478818655
L17H8,corrupt,2,""":""",2,0.03061255719512701
L17H8,corrupt,2,*/\n,2,0.04321076534688473
L17H8,corrupt,2,.java,1,0.03245719149708748
L17H8,corrupt,2,.py,1,0.03334375470876694
L17H8,corrupt,2,/*\n,51,0.03889307379722595
L17H8,corrupt,2,:\n,58,0.037592848762869835
L17H8,corrupt,2,<,3,0.046651970595121384
L17H8,corrupt,2,>\n\n,1,0.021598204970359802
L17H8,corrupt,2,\n,1320,0.04757047817111015
L17H8,corrupt,2,\n\n,108,0.03434557467699051
L17H8,corrupt,2,write,16,0.029647874645888805
L17H8,corrupt,2,}\n,1,0.03238316625356674
L17H8,corrupt,2,}},42,0.03426215797662735
L17H8,corrupt,3, ,1,0.02450737915933132
L17H8,corrupt,3, and,389,0.034241050481796265
L17H8,corrupt,3, arr,1,0.051333554089069366
L17H8,corrupt,3, based,26,0.026021978817880154
L17H8,corrupt,3, the,4,0.022974621504545212
L17H8,corrupt,3,""":""",6,0.025150993838906288
L17H8,corrupt,3,*/\n,1,0.03850654140114784
L17H8,corrupt,3,"."",""",14,0.025512156076729298
L17H8,corrupt,3,.java,9,0.029926147311925888
L17H8,corrupt,3,.py,4,0.028930839151144028
L17H8,corrupt,3,/*\n,90,0.03380626253783703
L17H8,corrupt,3,:\n,329,0.03284353390336037
L17H8,corrupt,3,<,62,0.0330794844776392
L17H8,corrupt,3,>\n\n,24,0.027119561098515987
L17H8,corrupt,3,\n,245,0.033399682492017746
L17H8,corrupt,3,\n\n,199,0.02979658730328083
L17H8,corrupt,3,assistant,5,0.028828751295804977
L17H8,corrupt,3,static,13,0.03353805094957352
L17H8,corrupt,3,write,133,0.026629816740751266
L17H8,corrupt,3,}\n,9,0.03302532434463501
L17H8,corrupt,3,}},158,0.028025157749652863
L17H8,corrupt,4, XML,1,0.024907676503062248
L17H8,corrupt,4, and,212,0.028597550466656685
L17H8,corrupt,4, based,34,0.02533908374607563
L17H8,corrupt,4, body,1,0.025423897430300713
L17H8,corrupt,4, the,5,0.027077579870820045
L17H8,corrupt,4,""",""",1,0.022746657952666283
L17H8,corrupt,4,""":""",21,0.024746214970946312
L17H8,corrupt,4,*/\n,4,0.029736693017184734
L17H8,corrupt,4,"."",""",21,0.02372857742011547
L17H8,corrupt,4,.java,36,0.025698923505842686
L17H8,corrupt,4,.py,7,0.023899780586361885
L17H8,corrupt,4,/*\n,132,0.02953515760600567
L17H8,corrupt,4,:\n,351,0.02899009734392166
L17H8,corrupt,4,<,118,0.028445931151509285
L17H8,corrupt,4,</,1,0.024960031732916832
L17H8,corrupt,4,>\n\n,72,0.024638356640934944
L17H8,corrupt,4,\n,106,0.028203966096043587
L17H8,corrupt,4,\n\n,275,0.02623237855732441
L17H8,corrupt,4,assistant,11,0.024174118414521217
L17H8,corrupt,4,static,16,0.030556113459169865
L17H8,corrupt,4,write,140,0.02450522594153881
L17H8,corrupt,4,}\n,32,0.02726868912577629
L17H8,corrupt,4,}},125,0.02469359152019024
L17H8,corrupt,5, ,1,0.023184772580862045
L17H8,corrupt,5, XML,2,0.022108529694378376
L17H8,corrupt,5, and,203,0.024914855137467384
L17H8,corrupt,5, based,137,0.024459678679704666
L17H8,corrupt,5, body,1,0.019391681998968124
L17H8,corrupt,5, develop,2,0.021123547106981277
L17H8,corrupt,5, the,17,0.02371269278228283
L17H8,corrupt,5,""",""",17,0.022368503734469414
L17H8,corrupt,5,""":""",60,0.022538326680660248
L17H8,corrupt,5,*/\n,12,0.023998014628887177
L17H8,corrupt,5,"."",""",33,0.021972250193357468
L17H8,corrupt,5,.cpp,2,0.020824478939175606
L17H8,corrupt,5,.java,63,0.024456270039081573
L17H8,corrupt,5,.py,5,0.02114727348089218
L17H8,corrupt,5,/*\n,136,0.025004885159432888
L17H8,corrupt,5,:\n,206,0.024365264922380447
L17H8,corrupt,5,<,130,0.02440494764596224
L17H8,corrupt,5,</,1,0.021920910105109215
L17H8,corrupt,5,>\n\n,141,0.022687746211886406
L17H8,corrupt,5,\n,65,0.025001708418130875
L17H8,corrupt,5,\n\n,206,0.023516686633229256
L17H8,corrupt,5,assistant,39,0.023864472284913063
L17H8,corrupt,5,static,33,0.027584681287407875
L17H8,corrupt,5,write,86,0.023660335689783096
L17H8,corrupt,5,}\n,48,0.024402623996138573
L17H8,corrupt,5,}},76,0.022532652132213116
L20H5,clean,1,.cpp,18,0.16746875643730164
L20H5,clean,1,.java,2,0.16617818921804428
L20H5,clean,1,.py,93,0.2045063078403473
L20H5,clean,1,</think>,7,0.1580437421798706
L20H5,clean,1,></,1602,0.20744653046131134
L20H5,clean,2, <,321,0.08299414813518524
L20H5,clean,2, XML,37,0.09764890372753143
L20H5,clean,2, body,2,0.07694538310170174
L20H5,clean,2, json,93,0.0758611410856247
L20H5,clean,2, tags,152,0.07646971568465233
L20H5,clean,2,.cpp,309,0.09550453722476959
L20H5,clean,2,.java,61,0.09922217577695847
L20H5,clean,2,.py,285,0.1333179473876953
L20H5,clean,2,</think>,274,0.09300843998789787
L20H5,clean,2,></,114,0.15580924600362778
L20H5,clean,2,string,2,0.106768062338233
L20H5,clean,2,tools,51,0.07341080158948898
L20H5,clean,2,}\n,21,0.07180587947368622
L20H5,clean,3, <,406,0.07101099565625191
L20H5,clean,3, XML,66,0.07041506841778755
L20H5,clean,3, body,78,0.07583644241094589
L20H5,clean,3, json,143,0.0653655081987381
L20H5,clean,3, tags,190,0.06660274043679237
L20H5,clean,3,.cpp,83,0.070561982691288
L20H5,clean,3,.java,67,0.06966953724622726
L20H5,clean,3,.py,91,0.08820480108261108
L20H5,clean,3,</think>,429,0.07813403755426407
L20H5,clean,3,<|im_start|>,6,0.06412623450160027
L20H5,clean,3,></,6,0.12746847793459892
L20H5,clean,3,str,1,0.08381965756416321
L20H5,clean,3,string,65,0.09544215351343155
L20H5,clean,3,tools,59,0.06299297511577606
L20H5,clean,3,}\n,32,0.06508159637451172
L20H5,clean,4, <,471,0.061390336602926254
L20H5,clean,4, XML,113,0.06003008782863617
L20H5,clean,4, body,50,0.06110100634396076
L20H5,clean,4, json,214,0.058579735457897186
L20H5,clean,4, pass,1,0.06164024770259857
L20H5,clean,4, tags,200,0.05761842057108879
L20H5,clean,4,.cpp,32,0.05763588845729828
L20H5,clean,4,.java,44,0.05445915274322033
L20H5,clean,4,.py,24,0.06406477093696594
L20H5,clean,4,</think>,296,0.06056906282901764
L20H5,clean,4,<|im_start|>,21,0.05209340527653694
L20H5,clean,4,string,127,0.06810534745454788
L20H5,clean,4,tools,65,0.056254394352436066
L20H5,clean,4,"{""",2,0.045509252697229385
L20H5,clean,4,}\n,62,0.054673824459314346
L20H5,clean,5, <,346,0.0522104911506176
L20H5,clean,5, XML,208,0.04941544868052006
L20H5,clean,5, body,57,0.046752020716667175
L20H5,clean,5, json,285,0.05006011202931404
L20H5,clean,5, pass,3,0.05152362212538719
L20H5,clean,5, tags,244,0.04950599931180477
L20H5,clean,5,.cpp,13,0.05254582315683365
L20H5,clean,5,.java,36,0.0498757716268301
L20H5,clean,5,.py,3,0.04409226030111313
L20H5,clean,5,</think>,193,0.05210259184241295
L20H5,clean,5,<|im_start|>,46,0.044992316514253616
L20H5,clean,5,string,142,0.0493170041590929
L20H5,clean,5,tools,80,0.0520481001585722
L20H5,clean,5,"{""",2,0.04197552055120468
L20H5,clean,5,}\n,64,0.0486164391040802
L20H5,corrupt,1, body,139,0.144666388630867
L20H5,corrupt,1,.cpp,95,0.13340464234352112
L20H5,corrupt,1,.java,16,0.13455522060394287
L20H5,corrupt,1,.py,310,0.1781546026468277
L20H5,corrupt,1,</think>,206,0.15125689655542374
L20H5,corrupt,1,></,952,0.14187011867761612
L20H5,corrupt,1,}\n,4,0.10399777814745903
L20H5,corrupt,2, <,3,0.07367587834596634
L20H5,corrupt,2, body,276,0.11255908384919167
L20H5,corrupt,2, json,2,0.06688623316586018
L20H5,corrupt,2,.cpp,263,0.10656482726335526
L20H5,corrupt,2,.java,46,0.09832436963915825
L20H5,corrupt,2,.py,156,0.12933514267206192
L20H5,corrupt,2,</think>,369,0.11703114956617355
L20H5,corrupt,2,<|im_start|>,13,0.10601169615983963
L20H5,corrupt,2,></,573,0.12471038103103638
L20H5,corrupt,2,string,2,0.0994320847094059
L20H5,corrupt,2,}\n,19,0.09347785264253616
